,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Dependents_1,Dependents_2,Dependents_3above,Property_Area_Semiurban,Property_Area_Urban
0,1,0,0,0,3748,1668.0,110.0,360.0,1.0,0,0,0,1,0
1,1,1,1,0,4000,7750.0,290.0,360.0,1.0,0,0,1,1,0
2,1,1,1,0,2625,6250.0,187.0,360.0,1.0,0,0,0,0,0
3,1,0,0,0,3902,1666.0,109.0,360.0,1.0,0,0,0,0,0
4,1,1,0,0,6096,0.0,218.0,360.0,0.0,0,0,0,0,0
5,0,1,1,0,2645,3440.0,120.0,360.0,0.0,0,0,0,0,1
6,1,1,1,0,5000,3667.0,236.0,360.0,1.0,0,1,0,1,0
7,1,1,0,0,2510,1983.0,140.0,180.0,1.0,1,0,0,0,1
8,1,0,0,0,2679,1302.0,94.0,360.0,1.0,1,0,0,1,0
9,1,1,0,0,6125,1625.0,187.0,480.0,1.0,0,1,0,1,0
10,1,0,1,0,2500,0.0,96.0,480.0,1.0,0,0,0,1,0
11,0,0,1,1,7451,0.0,152.0854700854701,360.0,1.0,1,0,0,1,0
12,0,0,1,1,15759,0.0,55.0,360.0,1.0,0,0,0,1,0
13,1,1,1,0,8750,4996.0,130.0,360.0,1.0,0,0,1,0,0
14,1,1,1,0,2500,3796.0,120.0,360.0,1.0,0,0,0,0,1
15,1,0,0,1,4053,2426.0,158.0,360.0,0.0,1,0,0,0,1
16,1,0,0,0,4885,0.0,48.0,360.0,1.0,0,0,0,0,0
17,0,0,1,0,2500,0.0,67.0,360.0,1.0,0,0,0,0,1
18,1,1,0,0,7660,0.0,104.0,360.0,0.0,0,0,0,0,1
19,1,1,1,0,1759,3541.0,131.0,360.0,1.0,0,0,0,1,0
20,0,0,0,1,18165,0.0,125.0,360.0,1.0,0,0,0,0,1
21,1,1,1,0,19730,5266.0,570.0,360.0,1.0,0,0,0,0,0
22,1,0,1,0,2500,20000.0,103.0,360.0,1.0,0,0,0,1,0
23,1,0,0,0,2717,0.0,60.0,180.0,1.0,0,0,0,0,1
24,1,1,1,0,3500,1667.0,114.0,360.0,1.0,0,0,0,1,0
25,1,1,1,0,1828,1330.0,100.0,344.75409836065575,0.0,0,0,0,0,1
26,1,1,1,0,13650,0.0,152.0854700854701,360.0,1.0,0,0,0,0,1
27,1,1,1,0,3775,0.0,110.0,360.0,1.0,0,0,0,1,0
28,0,1,1,0,2484,2302.0,137.0,360.0,1.0,0,0,0,1,0
29,0,1,1,0,10047,0.0,152.0854700854701,240.0,1.0,0,0,0,1,0
30,1,1,1,1,1600,20000.0,239.0,360.0,1.0,0,1,0,0,1
31,0,0,1,0,3166,2985.0,132.0,360.0,1.0,0,0,0,0,0
32,1,0,1,0,9166,0.0,244.0,360.0,1.0,0,0,0,0,1
33,1,1,1,1,2395,0.0,152.0854700854701,360.0,1.0,1,0,0,1,0
34,1,1,1,0,2958,2900.0,131.0,360.0,1.0,0,0,0,1,0
35,1,1,1,0,3153,1560.0,134.0,360.0,1.0,0,1,0,0,1
36,0,0,1,0,1811,1666.0,54.0,360.0,1.0,0,0,0,0,1
37,1,1,1,0,7583,0.0,187.0,360.0,1.0,0,1,0,0,1
38,1,0,1,0,1853,2840.0,114.0,360.0,1.0,0,0,0,0,0
39,1,1,0,1,4735,0.0,138.0,360.0,1.0,0,0,0,0,1
40,1,1,1,0,33846,0.0,260.0,360.0,1.0,1,0,0,1,0
41,1,0,1,0,14999,0.0,242.0,360.0,0.0,0,0,0,1,0
42,1,0,1,0,12876,0.0,405.0,360.0,1.0,0,0,0,1,0
43,1,1,1,1,2726,0.0,106.0,360.0,0.0,0,1,0,1,0
44,0,0,1,0,2400,1863.0,104.0,360.0,0.0,0,0,0,0,1
45,1,1,0,0,4050,5302.0,138.0,360.0,1.0,1,0,0,0,0
46,0,0,1,0,2378,0.0,9.0,360.0,1.0,0,0,0,0,1
47,1,1,1,0,5488,0.0,125.0,360.0,1.0,0,0,0,0,0
48,1,1,1,0,3816,754.0,160.0,360.0,1.0,0,0,0,0,1
49,1,1,0,0,2600,1700.0,107.0,360.0,1.0,0,0,0,0,0
50,1,1,1,0,4333,2451.0,110.0,360.0,1.0,0,0,0,0,1
51,1,1,1,1,16525,1014.0,150.0,360.0,1.0,0,1,0,0,0
52,1,1,1,0,5935,0.0,133.0,360.0,1.0,0,1,0,1,0
53,1,1,1,0,2583,2330.0,125.0,360.0,1.0,0,1,0,0,0
54,1,1,1,0,4566,0.0,100.0,360.0,1.0,0,1,0,0,1
55,1,0,1,0,6000,0.0,141.0,360.0,1.0,0,0,0,0,1
56,1,0,1,1,6950,0.0,175.0,180.0,1.0,0,0,0,1,0
57,0,0,1,0,2667,1625.0,84.0,360.0,1.0,0,0,0,0,1
58,0,0,1,0,2995,0.0,60.0,360.0,1.0,0,0,0,0,1
59,1,0,1,0,12000,0.0,164.0,360.0,1.0,0,0,0,1,0
60,1,0,1,0,9508,0.0,187.0,360.0,1.0,0,0,0,0,0
61,1,1,1,0,2213,1125.0,152.0854700854701,360.0,1.0,0,0,0,0,1
62,1,1,1,0,2957,0.0,81.0,360.0,1.0,0,1,0,1,0
63,1,0,1,0,3547,0.0,80.0,360.0,0.0,0,1,0,0,0
64,0,0,1,0,3692,0.0,93.0,360.0,1.0,0,0,0,0,0
65,1,1,1,0,11146,0.0,136.0,360.0,1.0,0,0,0,0,1
66,1,0,1,1,9357,0.0,292.0,360.0,1.0,0,0,1,1,0
67,0,0,1,0,3541,0.0,112.0,360.0,1.0,1,0,0,1,0
68,1,0,1,0,2479,0.0,59.0,360.0,1.0,0,0,0,0,1
69,0,0,1,0,10408,0.0,259.0,360.0,1.0,0,0,0,0,1
70,1,1,1,0,5250,0.0,94.0,360.0,1.0,0,0,1,0,1
71,1,1,0,0,2661,7101.0,279.0,180.0,1.0,1,0,0,1,0
72,1,1,1,0,2439,3333.0,129.0,360.0,1.0,0,0,0,0,0
73,1,1,0,0,3074,1800.0,123.0,360.0,0.0,0,0,0,1,0
74,1,1,1,0,2132,1591.0,96.0,360.0,1.0,0,0,0,1,0
75,1,1,0,1,2609,3449.0,165.0,180.0,0.0,0,0,0,0,0
76,1,0,0,0,2755,0.0,65.0,300.0,1.0,0,0,0,0,0
77,1,1,1,0,8080,2250.0,180.0,360.0,1.0,1,0,0,0,1
78,0,1,1,0,12000,0.0,496.0,360.0,1.0,1,0,0,1,0
79,1,1,0,0,1800,2934.0,93.0,360.0,0.0,0,0,0,0,1
80,1,1,1,0,3125,2583.0,170.0,360.0,1.0,1,0,0,1,0
81,1,1,1,0,3510,4416.0,243.0,360.0,1.0,0,1,0,0,0
82,1,1,1,0,3073,8106.0,200.0,360.0,1.0,0,1,0,0,1
83,1,1,1,0,3029,0.0,99.0,360.0,1.0,0,0,1,0,1
84,1,1,1,0,3593,4266.0,132.0,180.0,0.0,0,0,0,0,0
85,1,1,1,0,3597,2157.0,119.0,360.0,0.0,0,0,0,0,0
86,1,1,1,1,7787,0.0,240.0,360.0,1.0,1,0,0,0,1
87,1,1,0,1,7100,0.0,125.0,60.0,1.0,0,0,1,0,1
88,1,1,1,0,4400,0.0,127.0,360.0,0.0,0,1,0,1,0
89,1,0,1,1,16250,0.0,192.0,360.0,0.0,0,0,0,0,1
90,1,1,0,0,2600,1911.0,116.0,360.0,0.0,0,0,0,1,0
91,1,0,1,0,2971,2791.0,144.0,360.0,1.0,0,0,0,1,0
92,1,1,1,0,9504,0.0,275.0,360.0,1.0,0,0,1,0,0
93,1,1,1,0,4817,923.0,120.0,180.0,1.0,0,0,0,0,1
94,1,1,1,0,8799,0.0,258.0,360.0,0.0,0,1,0,0,1
95,1,1,1,1,3450,2079.0,162.0,360.0,1.0,1,0,0,1,0
96,0,0,1,0,3846,0.0,111.0,360.0,1.0,0,0,0,1,0
97,1,1,1,0,6133,3906.0,324.0,360.0,1.0,0,0,0,0,1
98,1,1,1,0,3708,2569.0,173.0,360.0,1.0,0,0,0,0,1
99,1,0,1,0,3676,4301.0,172.0,360.0,1.0,0,0,0,0,0
100,1,1,0,0,2454,2333.0,181.0,360.0,0.0,0,0,0,0,1
101,1,1,1,0,2708,1167.0,97.0,360.0,1.0,0,1,0,1,0
102,1,1,0,0,2167,2400.0,115.0,360.0,1.0,0,0,0,0,1
103,1,1,0,1,3333,2166.0,130.0,360.0,1.0,0,0,1,1,0
104,1,1,0,0,6608,0.0,137.0,180.0,1.0,1,0,0,0,1
105,1,1,1,0,2473,1843.0,159.0,360.0,1.0,0,0,0,0,0
106,1,0,1,0,2833,0.0,71.0,360.0,1.0,0,0,0,0,1
107,1,0,1,0,4923,0.0,166.0,360.0,0.0,0,1,0,1,0
108,1,1,0,0,3365,1917.0,112.0,360.0,0.0,0,1,0,0,0
109,1,1,1,0,5780,0.0,192.0,360.0,1.0,0,1,0,0,1
110,1,0,1,0,3600,0.0,80.0,360.0,1.0,0,0,0,0,1
111,1,0,1,0,5815,3666.0,311.0,360.0,1.0,0,0,0,0,0
112,0,1,0,0,210,2917.0,98.0,360.0,1.0,0,1,0,1,0
113,0,0,1,0,2917,0.0,84.0,360.0,1.0,0,0,0,1,0
114,1,0,0,0,3833,0.0,110.0,360.0,1.0,0,0,0,0,0
115,1,0,1,0,2060,2209.0,134.0,360.0,1.0,0,0,0,1,0
116,0,1,1,0,4608,2845.0,140.0,180.0,1.0,1,0,0,1,0
117,0,0,1,0,3427,0.0,138.0,360.0,1.0,0,1,0,0,1
118,1,0,1,0,4683,1915.0,185.0,360.0,1.0,0,0,0,1,0
119,1,1,0,0,3601,1590.0,152.0854700854701,360.0,1.0,0,1,0,0,0
120,0,1,0,0,3017,663.0,102.0,360.0,1.0,0,0,0,1,0
121,0,0,0,1,17263,0.0,225.0,360.0,1.0,0,0,0,1,0
122,1,1,1,0,3750,0.0,116.0,360.0,1.0,1,0,0,1,0
